backing_thickness_mm,case_name,conductive_thickness_mm,element_count,log_file,material_case,maximum_time_step,maximum_trial_negative_jacobians,mesh_level,metadata_file,model_file,movement,negative_jacobian_trial_messages,node_count,normal_termination,raw_log_status,sensor_length_mm,sensor_width_mm,summary_file,taper_length_mm,time_steps
,garment_fit_tensile_00655bp,,,,garment case,,0,garment surface,model/garment_fit_tensile_00655bp_metadata.json,model/garment_fit_tensile_00655bp.feb,,0,,True,retained by authors; available on reasonable request,,,results/garment_fit_tensile_00655bp_summary.json,,
,garment_fit_tensile_0065bp,,,,garment case,,0,garment surface,model/garment_fit_tensile_0065bp_metadata.json,model/garment_fit_tensile_0065bp.feb,,0,,True,retained by authors; available on reasonable request,,,results/garment_fit_tensile_0065bp_summary.json,,
,garment_fit_tensile_00660bp,,,,garment case,,0,garment surface,model/garment_fit_tensile_00660bp_metadata.json,model/garment_fit_tensile_00660bp.feb,,0,,True,retained by authors; available on reasonable request,,,results/garment_fit_tensile_00660bp_summary.json,,
,garment_fit_tensile_00665bp,,,,garment case,,0,garment surface,model/garment_fit_tensile_00665bp_metadata.json,model/garment_fit_tensile_00665bp.feb,,0,,True,retained by authors; available on reasonable request,,,results/garment_fit_tensile_00665bp_summary.json,,
,garment_fit_tensile_00670bp,,,,garment case,,52,garment surface,model/garment_fit_tensile_00670bp_metadata.json,model/garment_fit_tensile_00670bp.feb,,1,,True,retained by authors; available on reasonable request,,,results/garment_fit_tensile_00670bp_summary.json,,
,garment_fit_tensile_006725bp_20step,,,,garment case,,372,garment surface,model/garment_fit_tensile_006725bp_20step_metadata.json,model/garment_fit_tensile_006725bp_20step.feb,,16,,False,retained by authors; available on reasonable request,,,,,
,garment_fit_tensile_006725bp_5step,,,,garment case,,600,garment surface,model/garment_fit_tensile_006725bp_5step_metadata.json,model/garment_fit_tensile_006725bp_5step.feb,,31,,False,retained by authors; available on reasonable request,,,,,
,garment_fit_tensile_006725bp,,,,garment case,,52,garment surface,model/garment_fit_tensile_006725bp_metadata.json,model/garment_fit_tensile_006725bp.feb,,1,,True,retained by authors; available on reasonable request,,,results/garment_fit_tensile_006725bp_summary.json,,
,garment_fit_tensile_006725bp_staged,,,,garment case,,414,garment surface,model/garment_fit_tensile_006725bp_staged_metadata.json,model/garment_fit_tensile_006725bp_staged.feb,,14,,False,retained by authors; available on reasonable request,,,,,
,garment_fit_tensile_006740bp,,,,garment case,,224,garment surface,model/garment_fit_tensile_006740bp_metadata.json,model/garment_fit_tensile_006740bp.feb,,18,,False,retained by authors; available on reasonable request,,,,,
,garment_fit_tensile_00675bp,,,,garment case,,778,garment surface,model/garment_fit_tensile_00675bp_metadata.json,model/garment_fit_tensile_00675bp.feb,,17,,False,retained by authors; available on reasonable request,,,,,
,garment_fit_tensile_0070bp,,,,garment case,,770,garment surface,model/garment_fit_tensile_0070bp_metadata.json,model/garment_fit_tensile_0070bp.feb,,17,,False,retained by authors; available on reasonable request,,,,,
,garment_fit_tensile_0100bp,,,,garment case,,734,garment surface,model/garment_fit_tensile_0100bp_metadata.json,model/garment_fit_tensile_0100bp.feb,,51,,False,retained by authors; available on reasonable request,,,results/garment_fit_tensile_0100bp_summary.json,,
,garment_fit_test_9975,,,,garment case,,52,garment surface,model/garment_fit_test_9975_metadata.json,model/garment_fit_test_9975.feb,,1,,True,retained by authors; available on reasonable request,,,results/garment_fit_test_9975_summary.json,,
